Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,atomic_mass_weighted,atomic_radius_weighted,melting_point_weighted,PC1,PC2,PC3
A2B,Th2Al,0.8,130.0,500.0,0.001,110.71113411383678,1.0167358951774124e-17,-39.127349187648704,1.3095709021377366,220.77107260974196,1.7697798293741955,2050.0799305463515,0.31496077441765774,-0.782380464616484,0.06782237415936967
A2B,Ti2Cu,2.2,130.0,500.0,0.12,150.51510167451383,1.2200830742128937e-15,-34.33985744486666,1.18484976358187,54.12225950527373,1.3800521094927172,1708.3158363887492,-1.7277886752541995,0.0434050362407764,-1.2145635154607435
A2B,Zr2Cu,1.3,144.0,600.0,0.003,116.6219783432098,7.297612026554459e-20,-44.064154684891946,1.071442643251154,84.0741256616015,1.4983353252518357,1929.031587843606,-1.857842568634597,0.036696514590366054,-1.4519874051282469
A2B,Zr2Ni,1.3,183.0,604.0,0.003,160.33208440571488,2.058957198564648e-24,-54.53984259151432,1.0503068327409768,83.30610818200444,1.5013203456561173,2030.6406913122344,-1.6925103652306663,0.08044639280336695,-1.3406882055220595
A2B,Mg2Ni,3.6,64.5,299.0,3.2,122.40329577151846,1.2401578620850435e-05,-11.297686785323176,1.3251259632483698,43.114954918110705,1.4179521804528097,1363.3232982365892,0.2649931198521923,-0.2845172920172858,-0.5728723228712151
A2B,Mg2Co0.25Ni0.75,3.1,64.5,279.0,1.0,116.81608258625374,6.333239945579323e-06,-11.969698613009502,1.1358269759536368,43.156560174796205,1.417914237818518,1369.0160590301073,0.1841411803999376,-0.23638916725903003,-0.3797356479908893
A2B,Mg2Fe0.25Ni0.75,3.3,65.2,300.0,1.9,119.09378137973276,6.280056744354837e-06,-11.978131541799696,1.202894219563041,42.637799322458775,1.4249551089066368,1371.7582968778877,0.03519092595386027,-0.20503375110675684,-0.5069311112662627
A2B,Mg2Cr0.25Ni0.75,3.2,61.0,250.0,0.9,115.72537308383632,2.279544208544706e-05,-10.688949950521277,1.1547189973326335,42.04383174303571,1.4251824367485941,1413.1672638428386,0.017494596558511204,-0.1913356033553132,-0.5056902327900992
A2B,Mg2Cu0.25Ni0.75,3.2,59.0,250.0,1.2,114.29421225881924,4.3001956393652456e-05,-10.054264945778892,1.1862843806025627,43.99951879846898,1.4171925157959775,1313.1995949465772,0.23352152586745212,-0.29470385841420665,-0.5891286430474126
A2B,Mg2Ti0.25Ni0.75,3.2,59.0,250.0,1.3,114.95970005720751,4.658545275979016e-05,-9.974222238105355,1.1434343434343437,41.47320830962323,1.42543096442721,1378.2557224503998,-0.008513185685890262,-0.1888259489549722,-0.5113581289697187
